poster_number,avg_node_distance,avg_node_distance_kw,avg_random,number_recommend
7458,0.0,1.0,2.9,3
7458,0.0,1.1,2.6,4
7458,0.1,0.9,2.6,5
1996,1.8,2.4,3.0,1
1996,1.2,2.4,2.9,2
1996,0.8,2.7,2.9,3
1996,0.7,2.5,2.8,4
1996,0.4,2.0,2.9,5
3685,2.8,2.9,2.9,1
3685,2.7,2.9,2.8,2
3685,2.3,2.7,2.8,3
3685,2.0,2.8,2.4,4
3685,1.6,2.8,2.3,5
4637,2.9,2.9,3.0,1
4637,2.6,2.9,2.9,2
4637,2.4,3.0,2.9,3
4637,2.4,2.9,2.9,4
4637,2.4,2.7,3.0,5
14249,0.8,1.6,2.6,1
14249,0.6,2.7,2.6,2
14249,0.6,2.2,2.7,3
14249,0.4,0.9,2.8,4
14249,0.6,1.6,2.7,5
5060,2.2,2.6,2.3,1
5060,1.4,1.6,2.8,2
5060,1.1,2.5,2.9,3
5060,0.6,2.3,2.5,4
5060,0.9,1.9,2.7,5
14057,2.1,2.7,2.6,1
14057,1.6,1.5,2.6,2
14057,1.2,1.4,2.8,3
14057,0.9,1.8,2.6,4
14057,1.0,1.1,2.6,5
305,1.9,2.1,2.7,1
305,1.4,1.4,3.0,2
305,1.9,1.5,2.8,3
